model_id,task_id,base_model,dataset_id
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task128,128,,Lots-of-LoRAs/task128_scan_structured_text_generation_command_action_short
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task710,710,,Lots-of-LoRAs/task710_mmmlu_answer_generation_high_school_statistics
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1322,1322,,Lots-of-LoRAs/task1322_country_government_type
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task163,163,,Lots-of-LoRAs/task163_count_words_ending_with_letter
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task178,178,,Lots-of-LoRAs/task178_quartz_question_answering
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task819,819,,Lots-of-LoRAs/task819_pec_sentiment_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task089,089,,Lots-of-LoRAs/task089_swap_words_verification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task700,700,,Lots-of-LoRAs/task700_mmmlu_answer_generation_high_school_chemistry
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1581,1581,,Lots-of-LoRAs/task1581_eqasc-perturbed_answer_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task927,927,,Lots-of-LoRAs/task927_yelp_negative_to_positive_style_transfer
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task101,101,,Lots-of-LoRAs/task101_reverse_and_concatenate_all_elements_from_index_i_to_j
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task123,123,,Lots-of-LoRAs/task123_conala_sort_dictionary
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1321,1321,,Lots-of-LoRAs/task1321_country_continent
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task550,550,,Lots-of-LoRAs/task550_discofuse_sentence_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task129,129,,Lots-of-LoRAs/task129_scan_long_text_generation_action_command_short
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task393,393,,Lots-of-LoRAs/task393_plausible_result_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1214,1214,,Lots-of-LoRAs/task1214_atomic_classification_xwant
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task277,277,,Lots-of-LoRAs/task277_stereoset_sentence_generation_stereotype
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1447,1447,,Lots-of-LoRAs/task1447_drug_extraction_ade
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task324,324,,Lots-of-LoRAs/task324_jigsaw_classification_disagree
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task455,455,,Lots-of-LoRAs/task455_swag_context_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task725,725,,Lots-of-LoRAs/task725_mmmlu_answer_generation_nutrition
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task365,365,,Lots-of-LoRAs/task365_synthetic_remove_vowels
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task664,664,,Lots-of-LoRAs/task664_mmmlu_answer_generation_abstract_algebra
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1316,1316,,Lots-of-LoRAs/task1316_remove_duplicates_string
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1199,1199,,Lots-of-LoRAs/task1199_atomic_classification_xattr
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task717,717,,Lots-of-LoRAs/task717_mmmlu_answer_generation_logical_fallacies
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task245,245,,Lots-of-LoRAs/task245_check_presence_in_set_intersection
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task874,874,,Lots-of-LoRAs/task874_opus_xhosanavy_sr
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task925,925,,Lots-of-LoRAs/task925_coached_conv_pref_classifier
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task380,380,,Lots-of-LoRAs/task380_boolq_yes_no_question
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1712,1712,,Lots-of-LoRAs/task1712_poki_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1504,1504,,Lots-of-LoRAs/task1504_hatexplain_answer_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task619,619,,Lots-of-LoRAs/task619_ohsumed_abstract_title_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task590,590,,Lots-of-LoRAs/task590_amazonfood_summary_correction_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1186,1186,,Lots-of-LoRAs/task1186_nne_hrngo_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task736,736,,Lots-of-LoRAs/task736_mmmlu_answer_generation_virology
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task069,069,,Lots-of-LoRAs/task069_abductivenli_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task377,377,,Lots-of-LoRAs/task377_remove_words_of_given_length
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task181,181,,Lots-of-LoRAs/task181_outcome_extraction
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task859,859,,Lots-of-LoRAs/task859_prost_question_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task144,144,,Lots-of-LoRAs/task144_subjqa_question_answering
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task632,632,,Lots-of-LoRAs/task632_dbpedia_14_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task641,641,,Lots-of-LoRAs/task641_esnli_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task064,064,,Lots-of-LoRAs/task064_all_elements_except_first_i
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task630,630,,Lots-of-LoRAs/task630_dbpedia_14_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1154,1154,,Lots-of-LoRAs/task1154_bard_analogical_reasoning_travel
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task390,390,,Lots-of-LoRAs/task390_torque_text_span_selection
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1188,1188,,Lots-of-LoRAs/task1188_count_max_freq_char
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task625,625,,Lots-of-LoRAs/task625_xlwic_true_or_false_answer_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task607,607,,Lots-of-LoRAs/task607_sbic_intentional_offense_binary_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task495,495,,Lots-of-LoRAs/task495_semeval_headline_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1189,1189,,Lots-of-LoRAs/task1189_check_char_in_string
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task398,398,,Lots-of-LoRAs/task398_semeval_2018_task1_tweet_joy_detection
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task108,108,,Lots-of-LoRAs/task108_contextualabusedetection_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1347,1347,,Lots-of-LoRAs/task1347_glue_sts-b_similarity_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1541,1541,,Lots-of-LoRAs/task1541_agnews_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task202,202,,Lots-of-LoRAs/task202_mnli_contradiction_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1723,1723,,Lots-of-LoRAs/task1723_civil_comments_sexuallyexplicit_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1669,1669,,Lots-of-LoRAs/task1669_md_gender_bias_text_modification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1089,1089,,Lots-of-LoRAs/task1089_check_monotonic_array
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1584,1584,,Lots-of-LoRAs/task1584_evalution_meronym_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task081,081,,Lots-of-LoRAs/task081_piqa_wrong_answer_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task329,329,,Lots-of-LoRAs/task329_gap_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task691,691,,Lots-of-LoRAs/task691_mmmlu_answer_generation_college_physics
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task588,588,,Lots-of-LoRAs/task588_amazonfood_rating_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1593,1593,,Lots-of-LoRAs/task1593_yahoo_answers_topics_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task724,724,,Lots-of-LoRAs/task724_mmmlu_answer_generation_moral_scenarios
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task149,149,,Lots-of-LoRAs/task149_afs_argument_quality_death_penalty
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1449,1449,,Lots-of-LoRAs/task1449_disease_entity_extraction_bc5cdr_dataset
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1313,1313,,Lots-of-LoRAs/task1313_amazonreview_polarity_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1453,1453,,Lots-of-LoRAs/task1453_person_entity_extraction_btc_corpus
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task905,905,,Lots-of-LoRAs/task905_hate_speech_offensive_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task704,704,,Lots-of-LoRAs/task704_mmmlu_answer_generation_high_school_government_and_politics
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task585,585,,Lots-of-LoRAs/task585_preposition_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1209,1209,,Lots-of-LoRAs/task1209_atomic_classification_objectuse
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task249,249,,Lots-of-LoRAs/task249_enhanced_wsc_pronoun_disambiguation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1386,1386,,Lots-of-LoRAs/task1386_anli_r2_entailment
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1400,1400,,Lots-of-LoRAs/task1400_obqa_incorrect_answer_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task751,751,,Lots-of-LoRAs/task751_svamp_subtraction_question_answering
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1332,1332,,Lots-of-LoRAs/task1332_check_leap_year
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task674,674,,Lots-of-LoRAs/task674_google_wellformed_query_sentence_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task379,379,,Lots-of-LoRAs/task379_agnews_topic_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task243,243,,Lots-of-LoRAs/task243_count_elements_in_set_intersection
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1318,1318,,Lots-of-LoRAs/task1318_country_national_dish
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task428,428,,Lots-of-LoRAs/task428_senteval_inversion
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task488,488,,Lots-of-LoRAs/task488_extract_all_alphabetical_elements_from_list_in_order
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task705,705,,Lots-of-LoRAs/task705_mmmlu_answer_generation_high_school_macroeconomics
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task698,698,,Lots-of-LoRAs/task698_mmmlu_answer_generation_global_facts
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1601,1601,,Lots-of-LoRAs/task1601_webquestions_answer_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task861,861,,Lots-of-LoRAs/task861_prost_mcq_answers_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1510,1510,,Lots-of-LoRAs/task1510_evalution_relation_extraction
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task077,077,,Lots-of-LoRAs/task077_splash_explanation_to_sql
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task509,509,,Lots-of-LoRAs/task509_collate_of_all_alphabetical_and_numerical_elements_in_list_separately
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task734,734,,Lots-of-LoRAs/task734_mmmlu_answer_generation_sociology
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task720,720,,Lots-of-LoRAs/task720_mmmlu_answer_generation_marketing
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1210,1210,,Lots-of-LoRAs/task1210_atomic_classification_madeupof
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task284,284,,Lots-of-LoRAs/task284_imdb_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task584,584,,Lots-of-LoRAs/task584_udeps_eng_fine_pos_tagging
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task105,105,,Lots-of-LoRAs/task105_story_cloze-rocstories_sentence_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task330,330,,Lots-of-LoRAs/task330_gap_answer_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task923,923,,Lots-of-LoRAs/task923_event2mind_classifier
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task319,319,,Lots-of-LoRAs/task319_stereoset_classification_profession
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task400,400,,Lots-of-LoRAs/task400_paws_paraphrase_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task246,246,,Lots-of-LoRAs/task246_dream_question_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task726,726,,Lots-of-LoRAs/task726_mmmlu_answer_generation_philosophy
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1568,1568,,Lots-of-LoRAs/task1568_propara_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1442,1442,,Lots-of-LoRAs/task1442_doqa_movies_isanswerable
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1640,1640,,Lots-of-LoRAs/task1640_aqa1.0_answerable_unanswerable_question_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1491,1491,,Lots-of-LoRAs/task1491_bengali_political_hate_speech_binary_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task099,099,,Lots-of-LoRAs/task099_reverse_elements_between_index_i_and_j
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task995,995,,Lots-of-LoRAs/task995_pib_translation_bengali_english
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task771,771,,Lots-of-LoRAs/task771_pawsx_korean_text_modification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task313,313,,Lots-of-LoRAs/task313_europarl_en_sv_translation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1048,1048,,Lots-of-LoRAs/task1048_pib_translation_telugu_english
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task292,292,,Lots-of-LoRAs/task292_storycommonsense_character_text_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task180,180,,Lots-of-LoRAs/task180_intervention_extraction
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task104,104,,Lots-of-LoRAs/task104_semeval_2019_task10_closed_vocabulary_mathematical_answer_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task462,462,,Lots-of-LoRAs/task462_qasper_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1346,1346,,Lots-of-LoRAs/task1346_glue_cola_grammatical_correctness_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1498,1498,,Lots-of-LoRAs/task1498_24hour_to_12hour_clock
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task965,965,,Lots-of-LoRAs/task965_librispeech_asr_missing_word_prediction
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1238,1238,,Lots-of-LoRAs/task1238_ted_translation_gl_en
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1364,1364,,Lots-of-LoRAs/task1364_hans_answer_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1689,1689,,Lots-of-LoRAs/task1689_qed_amara_translation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task025,025,,Lots-of-LoRAs/task025_cosmosqa_incorrect_answer_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1407,1407,,Lots-of-LoRAs/task1407_dart_question_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1396,1396,,Lots-of-LoRAs/task1396_europa_ecdc_tm_en_de_translation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task046,046,,Lots-of-LoRAs/task046_miscellaneous_question_typing
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task866,866,,Lots-of-LoRAs/task866_mawps_multidiv_question_answering
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task838,838,,Lots-of-LoRAs/task838_cdt_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task775,775,,Lots-of-LoRAs/task775_pawsx_chinese_text_modification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task844,844,,Lots-of-LoRAs/task844_financial_phrasebank_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1277,1277,,Lots-of-LoRAs/task1277_ted_translation_pt_ar
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1516,1516,,Lots-of-LoRAs/task1516_imppres_naturallanguageinference
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task650,650,,Lots-of-LoRAs/task650_opus100_ar_en_translation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1139,1139,,Lots-of-LoRAs/task1139_xcsr_ru_commonsense_mc_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task139,139,,Lots-of-LoRAs/task139_detoxifying-lms_classification_topicality
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task912,912,,Lots-of-LoRAs/task912_bianet_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1661,1661,,Lots-of-LoRAs/task1661_super_glue_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task168,168,,Lots-of-LoRAs/task168_strategyqa_question_decomposition
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task205,205,,Lots-of-LoRAs/task205_remove_even_elements
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1227,1227,,Lots-of-LoRAs/task1227_ted_translation_es_ja
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task994,994,,Lots-of-LoRAs/task994_pib_translation_tamil_hindi
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1244,1244,,Lots-of-LoRAs/task1244_ted_translation_gl_pl
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1086,1086,,Lots-of-LoRAs/task1086_pib_translation_marathi_english
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1247,1247,,Lots-of-LoRAs/task1247_ted_translation_it_en
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task832,832,,Lots-of-LoRAs/task832_poleval2019_mt_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1616,1616,,Lots-of-LoRAs/task1616_cc_alligned_translate_eng_tel
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task486,486,,Lots-of-LoRAs/task486_cls_japanese_dvd_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task307,307,,Lots-of-LoRAs/task307_jeopardy_answer_generation_final
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task376,376,,Lots-of-LoRAs/task376_reverse_order_of_words
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task271,271,,Lots-of-LoRAs/task271_europarl_translation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task220,220,,Lots-of-LoRAs/task220_rocstories_title_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task078,078,,Lots-of-LoRAs/task078_all_elements_except_last_i
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1057,1057,,Lots-of-LoRAs/task1057_pib_translation_english_urdu
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task991,991,,Lots-of-LoRAs/task991_pib_translation_english_tamil
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1381,1381,,Lots-of-LoRAs/task1381_quarel_incorrect_option_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task548,548,,Lots-of-LoRAs/task548_alt_translation_en_ch
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1620,1620,,Lots-of-LoRAs/task1620_menyo20k-mt_yo_en_translation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1493,1493,,Lots-of-LoRAs/task1493_bengali_geopolitical_hate_speech_binary_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task680,680,,Lots-of-LoRAs/task680_hope_edi_tamil_text_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1133,1133,,Lots-of-LoRAs/task1133_xcsr_nl_commonsense_mc_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task829,829,,Lots-of-LoRAs/task829_giga_fren_translation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1226,1226,,Lots-of-LoRAs/task1226_ted_translation_es_en
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task996,996,,Lots-of-LoRAs/task996_pib_translation_english_bengali
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task914,914,,Lots-of-LoRAs/task914_bianet_translation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1617,1617,,Lots-of-LoRAs/task1617_cc_alligned_translate_tel_eng
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1433,1433,,Lots-of-LoRAs/task1433_head_qa_language_translation_es_to_en
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task549,549,,Lots-of-LoRAs/task549_alt_translation_en_vi
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task364,364,,Lots-of-LoRAs/task364_regard_social_impact_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1445,1445,,Lots-of-LoRAs/task1445_closest_integers
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1654,1654,,Lots-of-LoRAs/task1654_mkb_translation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task817,817,,Lots-of-LoRAs/task817_pawsx_japanese_german_translation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1602,1602,,Lots-of-LoRAs/task1602_webquestion_question_genreation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task520,520,,Lots-of-LoRAs/task520_aquamuse_answer_given_in_passage
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task612,612,,Lots-of-LoRAs/task612_yorubabbc_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task542,542,,Lots-of-LoRAs/task542_alt_translation_ja_en
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1580,1580,,Lots-of-LoRAs/task1580_eqasc-perturbed_question_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1256,1256,,Lots-of-LoRAs/task1256_ted_translation_pl_en
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task803,803,,Lots-of-LoRAs/task803_pawsx_german_french_translation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1594,1594,,Lots-of-LoRAs/task1594_yahoo_answers_topics_question_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task784,784,,Lots-of-LoRAs/task784_pawsx_korean_french_translation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task779,779,,Lots-of-LoRAs/task779_pawsx_english_spanish_translation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task320,320,,Lots-of-LoRAs/task320_stereoset_classification_race
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task450,450,,Lots-of-LoRAs/task450_opus_paracrawl_so_en_translation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1345,1345,,Lots-of-LoRAs/task1345_glue_qqp_question_paraprashing
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1646,1646,,Lots-of-LoRAs/task1646_dataset_card_for_catalonia_independence_corpus_text_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1128,1128,,Lots-of-LoRAs/task1128_alt_th_ja_translation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task383,383,,Lots-of-LoRAs/task383_matres_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task258,258,,Lots-of-LoRAs/task258_spl_translation_fa_en
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1612,1612,,Lots-of-LoRAs/task1612_sick_label_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task071,071,,Lots-of-LoRAs/task071_abductivenli_answer_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task982,982,,Lots-of-LoRAs/task982_pib_translation_tamil_bengali
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task260,260,,Lots-of-LoRAs/task260_spl_translation_zh_en
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1231,1231,,Lots-of-LoRAs/task1231_ted_translation_ar_ja
